in s,C1 in V,C4 in V
-5.32000E-08,-1.46484E-01,-3.00586E-02
-5.30000E-08,-2.44141E-01,-4.47070E-02
-5.28000E-08,-3.41797E-01,-4.95898E-02
-5.26000E-08,-3.41797E-01,-4.47070E-02
-5.24000E-08,-2.44141E-01,-3.98242E-02
-5.22000E-08,-2.44141E-01,-4.47070E-02
-5.20000E-08,-3.41797E-01,-5.44727E-02
-5.18000E-08,-3.41797E-01,-5.44727E-02
-5.16000E-08,-1.46484E-01,-4.47070E-02
-5.14000E-08,4.88281E-02,-3.49414E-02
-5.12000E-08,-4.88281E-02,-3.00586E-02
-5.10000E-08,-3.41797E-01,-3.49414E-02
-5.08000E-08,-5.37109E-01,-4.47070E-02
-5.06000E-08,-5.37109E-01,-5.44727E-02
-5.04000E-08,-3.41797E-01,-5.44727E-02
-5.02000E-08,-1.46484E-01,-3.98242E-02
-5.00000E-08,-1.46484E-01,-2.51758E-02
-4.98000E-08,-1.46484E-01,-2.51758E-02
-4.96000E-08,-1.46484E-01,-3.98242E-02
-4.94000E-08,-1.46484E-01,-4.47070E-02
-4.92000E-08,-1.46484E-01,-3.00586E-02
-4.90000E-08,-2.44141E-01,-1.05273E-02
-4.88000E-08,-3.41797E-01,-5.64453E-03
-4.86000E-08,-2.44141E-01,-1.54102E-02
-4.84000E-08,-1.46484E-01,-3.49414E-02
-4.82000E-08,-4.88281E-02,-4.47070E-02
-4.80000E-08,-4.88281E-02,-4.95898E-02
-4.78000E-08,4.88281E-02,-4.95898E-02
-4.76000E-08,4.88281E-02,-5.44727E-02
-4.74000E-08,-4.88281E-02,-4.95898E-02
-4.72000E-08,-1.46484E-01,-3.98242E-02
-4.70000E-08,-2.44141E-01,-2.02930E-02
-4.68000E-08,-3.41797E-01,-1.05273E-02
-4.66000E-08,-3.41797E-01,-1.05273E-02
-4.64000E-08,-3.41797E-01,-2.02930E-02
-4.62000E-08,-2.44141E-01,-3.00586E-02
-4.60000E-08,-1.46484E-01,-3.98242E-02
-4.58000E-08,-1.46484E-01,-3.98242E-02
-4.56000E-08,-2.44141E-01,-3.49414E-02
-4.54000E-08,-3.41797E-01,-3.00586E-02
-4.52000E-08,-3.41797E-01,-2.51758E-02
-4.50000E-08,-2.44141E-01,-2.51758E-02
-4.48000E-08,-2.44141E-01,-2.51758E-02
-4.46000E-08,-3.41797E-01,-2.51758E-02
-4.44000E-08,-3.41797E-01,-3.00586E-02
-4.42000E-08,-1.46484E-01,-3.49414E-02
-4.40000E-08,4.88281E-02,-3.49414E-02
-4.38000E-08,-4.88281E-02,-3.00586E-02
-4.36000E-08,-3.41797E-01,-2.51758E-02
-4.34000E-08,-4.39453E-01,-2.51758E-02
-4.32000E-08,-1.46484E-01,-3.00586E-02
-4.30000E-08,1.46484E-01,-3.00586E-02
-4.28000E-08,2.44141E-01,-2.51758E-02
-4.26000E-08,4.88281E-02,-1.54102E-02
-4.24000E-08,-3.41797E-01,-1.54102E-02
-4.22000E-08,-5.37109E-01,-2.51758E-02
