pad distance,1st Grouptype,1st GroupIndex,1st Group Section,1st Pad Label,1st Pixel X center,1st Pixel Y center,1st Pad X center,1st Pad Y center,2nd Grouptype,2nd GroupIndex,2nd Group Section,2nd Pad Label,2nd Pixel X center,2nd Pixel Y center,2nd Pad X center,2nd Pad Y center
76784.335,RowPad,8,A,X00-,19670.022,39369.477,-43987.886,37779.244,ColumnPad,0,A,R08+,19670.022,39369.477,30246.158,57404.248
469.574,RowPad,7,B,T00-,21609.956,-32129.542,52201.728,23552.452,RowPad,7,B,X00+,21609.956,-32129.542,52460.458,23944.318
425.793,RowPad,7,B,X00+,21609.956,-32129.542,52460.458,23944.318,RowPad,7,B,X00-,21609.956,-32129.542,52061.728,23794.939
80340.169,RowPad,7,B,X00-,21609.956,-32129.542,52061.728,23794.939,ColumnPad,0,B,R07+,21609.956,-32129.542,34730.458,-54653.578
469.574,RowPad,9,A,T00-,22320.022,43959.412,-41197.886,42611.665,RowPad,9,A,X00+,22320.022,43959.412,-41666.616,42639.8
425.793,RowPad,9,A,X00+,22320.022,43959.412,-41666.616,42639.8,RowPad,9,A,X00-,22320.022,43959.412,-41337.886,42369.178
73419.985,RowPad,9,A,X00-,22320.022,43959.412,-41337.886,42369.178,ColumnPad,0,A,R09+,22320.022,43959.412,30526.158,57404.248
469.574,RowPad,8,B,T00-,24259.956,-36719.477,54851.728,18962.518,RowPad,8,B,X00+,24259.956,-36719.477,55110.458,19354.383
425.793,RowPad,8,B,X00+,24259.956,-36719.477,55110.458,19354.383,RowPad,8,B,X00-,24259.956,-36719.477,54711.728,19205.005
76784.336,RowPad,8,B,X00-,24259.956,-36719.477,54711.728,19205.005,ColumnPad,0,B,R08+,24259.956,-36719.477,34590.458,-54896.066
469.574,RowPad,10,A,T00-,24970.022,48549.346,-38547.886,47201.6,RowPad,10,A,X00+,24970.022,48549.346,-39016.616,47229.735
425.793,RowPad,10,A,X00+,24970.022,48549.346,-39016.616,47229.735,RowPad,10,A,X00-,24970.022,48549.346,-38687.886,46959.113
70274.626,RowPad,10,A,X00-,24970.022,48549.346,-38687.886,46959.113,ColumnPad,0,A,R10+,24970.022,48549.346,30806.158,57404.248
469.574,RowPad,9,B,T00-,26909.956,-41309.412,57501.728,14372.583,RowPad,9,B,X00+,26909.956,-41309.412,57760.458,14764.448
425.793,RowPad,9,B,X00+,26909.956,-41309.412,57760.458,14764.448,RowPad,9,B,X00-,26909.956,-41309.412,57361.728,14615.07
73419.985,RowPad,9,B,X00-,26909.956,-41309.412,57361.728,14615.07,ColumnPad,0,B,R09+,26909.956,-41309.412,34450.458,-55138.553
469.574,RowPad,11,A,T00-,27620.022,53139.281,-35897.886,51791.535,RowPad,11,A,X00+,27620.022,53139.281,-36366.616,51819.669
425.793,RowPad,11,A,X00+,27620.022,53139.281,-36366.616,51819.669,RowPad,11,A,X00-,27620.022,53139.281,-36037.886,51549.047
67378.933,RowPad,11,A,X00-,27620.022,53139.281,-36037.886,51549.047,ColumnPad,0,A,R11+,27620.022,53139.281,31086.158,57404.248
469.574,RowPad,10,B,T00-,29559.956,-45899.346,60151.728,9782.648,RowPad,10,B,X00+,29559.956,-45899.346,60410.458,10174.514
425.793,RowPad,10,B,X00+,29559.956,-45899.346,60410.458,10174.514,RowPad,10,B,X00-,29559.956,-45899.346,60011.728,10025.136
70274.627,RowPad,10,B,X00-,29559.956,-45899.346,60011.728,10025.136,ColumnPad,0,B,R10+,29559.956,-45899.346,34310.458,-55381.04
469.574,RowPad,11,B,T00-,32209.956,-50489.281,62801.728,5192.714,RowPad,11,B,X00+,32209.956,-50489.281,63060.458,5584.579
425.793,RowPad,11,B,X00+,32209.956,-50489.281,63060.458,5584.579,RowPad,11,B,X00-,32209.956,-50489.281,62661.728,5435.201
67378.934,RowPad,11,B,X00-,32209.956,-50489.281,62661.728,5435.201,ColumnPad,0,B,R11+,32209.956,-50489.281,34170.458,-55623.527
