"pad info 1(Gtype,GIndex,GSection,Label)",pad info 2,pixel position
"['ColumnPad', 8, 'A', 'L06-']","['ColumnPad', 8, 'A', 'L06+']","[-28029.978, 30189.608]"
"['ColumnPad', 8, 'A', 'R07-']","['ColumnPad', 8, 'A', 'R07+']","[-25379.978, 34779.542]"
"['ColumnPad', 8, 'A', 'R07+']","['ColumnPad', 8, 'A', 'L07-']","[-25379.978, 34779.542]"
"['ColumnPad', 8, 'A', 'L07-']","['ColumnPad', 8, 'A', 'L07+']","[-25379.978, 34779.542]"
"['ColumnPad', 8, 'A', 'R08-']","['ColumnPad', 8, 'A', 'R08+']","[-22729.978, 39369.477]"
"['ColumnPad', 8, 'A', 'R08+']","['ColumnPad', 8, 'A', 'L08-']","[-22729.978, 39369.477]"
"['ColumnPad', 8, 'A', 'L08-']","['ColumnPad', 8, 'A', 'L08+']","[-22729.978, 39369.477]"
"['ColumnPad', 8, 'A', 'R09-']","['ColumnPad', 8, 'A', 'R09+']","[-20079.978, 43959.412]"
"['ColumnPad', 8, 'A', 'R09+']","['ColumnPad', 8, 'A', 'L09-']","[-20079.978, 43959.412]"
"['ColumnPad', 8, 'A', 'L09-']","['ColumnPad', 8, 'A', 'L09+']","[-20079.978, 43959.412]"
"['ColumnPad', 8, 'A', 'R10-']","['ColumnPad', 8, 'A', 'R10+']","[-17429.978, 48549.346]"
"['ColumnPad', 8, 'A', 'R10+']","['ColumnPad', 8, 'A', 'L10-']","[-17429.978, 48549.346]"
"['ColumnPad', 8, 'A', 'L10-']","['ColumnPad', 8, 'A', 'L10+']","[-17429.978, 48549.346]"
"['ColumnPad', 8, 'A', 'R11-']","['ColumnPad', 8, 'A', 'R11+']","[-14779.978, 53139.281]"
"['ColumnPad', 8, 'A', 'R11+']","['ColumnPad', 8, 'A', 'L11-']","[-14779.978, 53139.281]"
"['ColumnPad', 8, 'A', 'L11-']","['ColumnPad', 8, 'A', 'L11+']","[-14779.978, 53139.281]"
"['ColumnPad', 7, 'A', 'R00-']","['ColumnPad', 7, 'A', 'R00+']","[-38629.978, 2650.0]"
"['ColumnPad', 7, 'A', 'R00+']","['ColumnPad', 7, 'A', 'L00-']","[-38629.978, 2650.0]"
"['ColumnPad', 7, 'A', 'L00-']","['ColumnPad', 7, 'A', 'L00+']","[-38629.978, 2650.0]"
"['ColumnPad', 7, 'A', 'R01-']","['ColumnPad', 7, 'A', 'R01+']","[-35979.978, 7239.935]"
"['ColumnPad', 7, 'A', 'R01+']","['ColumnPad', 7, 'A', 'L01-']","[-35979.978, 7239.935]"
"['ColumnPad', 7, 'A', 'L01-']","['ColumnPad', 7, 'A', 'L01+']","[-35979.978, 7239.935]"
"['ColumnPad', 7, 'A', 'R02-']","['ColumnPad', 7, 'A', 'R02+']","[-33329.978, 11829.869]"
"['ColumnPad', 7, 'A', 'R02+']","['ColumnPad', 7, 'A', 'L02-']","[-33329.978, 11829.869]"
"['ColumnPad', 7, 'A', 'L02-']","['ColumnPad', 7, 'A', 'L02+']","[-33329.978, 11829.869]"
"['ColumnPad', 7, 'A', 'R03-']","['ColumnPad', 7, 'A', 'R03+']","[-30679.978, 16419.804]"
"['ColumnPad', 7, 'A', 'R03+']","['ColumnPad', 7, 'A', 'L03-']","[-30679.978, 16419.804]"
"['ColumnPad', 7, 'A', 'L03-']","['ColumnPad', 7, 'A', 'L03+']","[-30679.978, 16419.804]"
"['ColumnPad', 7, 'A', 'R04-']","['ColumnPad', 7, 'A', 'R04+']","[-28029.978, 21009.739]"
"['ColumnPad', 7, 'A', 'R04+']","['ColumnPad', 7, 'A', 'L04-']","[-28029.978, 21009.739]"
"['ColumnPad', 7, 'A', 'L04-']","['ColumnPad', 7, 'A', 'L04+']","[-28029.978, 21009.739]"
