distance to pad,"first pad(Gtype,GIndex,GSection,Label)","second pad(Gtype,GIndex,GSection,Label)"
469.57362694789725,[['ColumnPad' '0' 'C' 'R09-']],[['ColumnPad' '0' 'C' 'L09+']]
425.79267229956247,[['ColumnPad' '0' 'C' 'L09+']],[['ColumnPad' '0' 'C' 'L09-']]
73580.54239944289,[['ColumnPad' '0' 'C' 'L09-']],[['RowPad' '9' 'C' 'B00+']]
425.79236552691054,[['RowPad' '0' 'A' 'B09+']],[['RowPad' '0' 'A' 'B09-']]
469.573626947896,[['RowPad' '0' 'A' 'B09-']],[['RowPad' '0' 'A' 'T09+']]
425.793001097954,[['RowPad' '0' 'A' 'T09+']],[['RowPad' '0' 'A' 'T09-']]
69519.92875460515,[['RowPad' '0' 'A' 'T09-']],[['ColumnPad' '9' 'A' 'R00+']]
425.7933771208754,[['ColumnPad' '9' 'A' 'R00+']],[['ColumnPad' '9' 'A' 'R00-']]
469.5742752749558,[['ColumnPad' '9' 'A' 'R00-']],[['ColumnPad' '9' 'A' 'L00+']]
425.7933771208754,[['ColumnPad' '9' 'A' 'L00+']],[['ColumnPad' '9' 'A' 'L00-']]
69383.37254502354,[['ColumnPad' '9' 'A' 'L00-']],[['RowPad' '0' 'A' 'B09+']]
425.79300109795344,[['RowPad' '2' 'A' 'B10+']],[['RowPad' '2' 'A' 'B10-']]
469.5744614605884,[['RowPad' '2' 'A' 'B10-']],[['RowPad' '2' 'A' 'T10+']]
425.79300109795344,[['RowPad' '2' 'A' 'T10+']],[['RowPad' '2' 'A' 'T10-']]
56179.06253591681,[['RowPad' '2' 'A' 'T10-']],[['ColumnPad' '10' 'A' 'R02+']]
425.7933771208754,[['ColumnPad' '10' 'A' 'R02+']],[['ColumnPad' '10' 'A' 'R02-']]
469.5742752749558,[['ColumnPad' '10' 'A' 'R02-']],[['ColumnPad' '10' 'A' 'L02+']]
425.7933771208754,[['ColumnPad' '10' 'A' 'L02+']],[['ColumnPad' '10' 'A' 'L02-']]
56018.82492561275,[['ColumnPad' '10' 'A' 'L02-']],[['RowPad' '2' 'A' 'B10+']]
425.79300109795344,[['RowPad' '4' 'A' 'B11+']],[['RowPad' '4' 'A' 'B11-']]
469.5736269478972,[['RowPad' '4' 'A' 'B11-']],[['RowPad' '4' 'A' 'T11+']]
425.79300109795577,[['RowPad' '4' 'A' 'T11+']],[['RowPad' '4' 'A' 'T11-']]
42564.48740140471,[['RowPad' '4' 'A' 'T11-']],[['ColumnPad' '11' 'A' 'R04+']]
425.7933771208754,[['ColumnPad' '11' 'A' 'R04+']],[['ColumnPad' '11' 'A' 'R04-']]
469.5742752749558,[['ColumnPad' '11' 'A' 'R04-']],[['ColumnPad' '11' 'A' 'L04+']]
425.7933771208754,[['ColumnPad' '11' 'A' 'L04+']],[['ColumnPad' '11' 'A' 'L04-']]
