distance,1st Grouptype,1st GroupIndex,1st Group Section,1st Pad Label,1st Pixel X center,1st Pixel Y center,1st Pad X center,1st Pad Y center,2nd Grouptype,2nd GroupIndex,2nd Group Section,2nd Pad Label,2nd Pixel X center,2nd Pixel Y center,2nd Pad X center,2nd Pad Y center
425.793,RowPad,11,C,B01+,-57179.978,-7239.935,-27113.842,-57404.248,RowPad,11,C,B01-,-57179.978,-7239.935,-27043.842,-56984.248
140.0,RowPad,11,C,B01+,-57179.978,-7239.935,-27113.842,-57404.248,RowPad,11,C,T01+,-57179.978,-7239.935,-27253.842,-57404.248
425.793,RowPad,11,C,B01+,-57179.978,-7239.935,-27113.842,-57404.248,RowPad,11,C,T01-,-57179.978,-7239.935,-27183.842,-56984.248
62541.07,RowPad,11,C,B01+,-57179.978,-7239.935,-27113.842,-57404.248,ColumnPad,1,C,R11+,-57179.978,-7239.935,-62796.616,-6041.566
62437.618,RowPad,11,C,B01+,-57179.978,-7239.935,-27113.842,-57404.248,ColumnPad,1,C,R11-,-57179.978,-7239.935,-62397.886,-5892.188
62680.582,RowPad,11,C,B01+,-57179.978,-7239.935,-27113.842,-57404.248,ColumnPad,1,C,L11+,-57179.978,-7239.935,-62866.616,-5920.323
62577.204,RowPad,11,C,B01+,-57179.978,-7239.935,-27113.842,-57404.248,ColumnPad,1,C,L11-,-57179.978,-7239.935,-62467.886,-5770.945
469.574,RowPad,11,C,B01-,-57179.978,-7239.935,-27043.842,-56984.248,RowPad,11,C,T01+,-57179.978,-7239.935,-27253.842,-57404.248
140.0,RowPad,11,C,B01-,-57179.978,-7239.935,-27043.842,-56984.248,RowPad,11,C,T01-,-57179.978,-7239.935,-27183.842,-56984.248
62236.787,RowPad,11,C,B01-,-57179.978,-7239.935,-27043.842,-56984.248,ColumnPad,1,C,R11+,-57179.978,-7239.935,-62796.616,-6041.566
62131.369,RowPad,11,C,B01-,-57179.978,-7239.935,-27043.842,-56984.248,ColumnPad,1,C,R11-,-57179.978,-7239.935,-62397.886,-5892.188
62376.242,RowPad,11,C,B01-,-57179.978,-7239.935,-27043.842,-56984.248,ColumnPad,1,C,L11+,-57179.978,-7239.935,-62866.616,-5920.323
