pad distance,1st Grouptype,1st GroupIndex,1st Group Section,1st Pad Label,1st Pixel X center,1st Pixel Y center,1st Pad X center,1st Pad Y center,2nd Grouptype,2nd GroupIndex,2nd Group Section,2nd Pad Label,2nd Pixel X center,2nd Pixel Y center,2nd Pad X center,2nd Pad Y center
469.574,RowPad,10,C,B02-,-49229.978,-11829.869,-22023.842,-56984.248,RowPad,10,C,T02+,-49229.978,-11829.869,-22233.842,-57404.248
425.793,RowPad,10,C,T02+,-49229.978,-11829.869,-22233.842,-57404.248,RowPad,10,C,T02-,-49229.978,-11829.869,-22163.842,-56984.248
59650.915,RowPad,10,C,T02-,-49229.978,-11829.869,-22163.842,-56984.248,ColumnPad,2,C,R10+,-49229.978,-11829.869,-60006.616,-10873.988
425.793,ColumnPad,2,C,R10+,-49229.978,-11829.869,-60006.616,-10873.988,ColumnPad,2,C,R10-,-49229.978,-11829.869,-59607.886,-10724.61
469.574,ColumnPad,2,C,R10-,-49229.978,-11829.869,-59607.886,-10724.61,ColumnPad,2,C,L10+,-49229.978,-11829.869,-60076.616,-10752.745
425.793,ColumnPad,2,C,L10+,-49229.978,-11829.869,-60076.616,-10752.745,ColumnPad,2,C,L10-,-49229.978,-11829.869,-59677.886,-10603.366
60024.02,ColumnPad,2,C,L10-,-49229.978,-11829.869,-59677.886,-10603.366,RowPad,10,C,B02+,-49229.978,-11829.869,-22093.842,-57404.248
425.793,RowPad,9,C,B00+,-49229.978,-2650.0,-16233.842,-57404.248,RowPad,9,C,B00-,-49229.978,-2650.0,-16163.842,-56984.248
469.574,RowPad,9,C,B00-,-49229.978,-2650.0,-16163.842,-56984.248,RowPad,9,C,T00+,-49229.978,-2650.0,-16373.842,-57404.248
425.793,RowPad,9,C,T00+,-49229.978,-2650.0,-16373.842,-57404.248,RowPad,9,C,T00-,-49229.978,-2650.0,-16303.842,-56984.248
469.574,RowPad,9,C,T00-,-49229.978,-2650.0,-16303.842,-56984.248,RowPad,9,C,X00+,-49229.978,-2650.0,-16093.842,-57404.248
425.793,RowPad,9,C,X00+,-49229.978,-2650.0,-16093.842,-57404.248,RowPad,9,C,X00-,-49229.978,-2650.0,-16023.842,-56984.248
73419.984,RowPad,9,C,X00-,-49229.978,-2650.0,-16023.842,-56984.248,ColumnPad,0,C,R09+,-49229.978,-2650.0,-64976.616,-2265.696
425.793,ColumnPad,0,C,R09+,-49229.978,-2650.0,-64976.616,-2265.696,ColumnPad,0,C,R09-,-49229.978,-2650.0,-64577.886,-2116.317
469.574,ColumnPad,0,C,R09-,-49229.978,-2650.0,-64577.886,-2116.317,ColumnPad,0,C,L09+,-49229.978,-2650.0,-65046.616,-2144.452
425.793,ColumnPad,0,C,L09+,-49229.978,-2650.0,-65046.616,-2144.452,ColumnPad,0,C,L09-,-49229.978,-2650.0,-64647.886,-1995.074
73580.542,ColumnPad,0,C,L09-,-49229.978,-2650.0,-64647.886,-1995.074,RowPad,9,C,B00+,-49229.978,-2650.0,-16233.842,-57404.248
425.792,RowPad,0,A,B09+,-49229.978,2650.0,-63996.616,3963.105,RowPad,0,A,B09-,-49229.978,2650.0,-63667.886,3692.484
469.574,RowPad,0,A,B09-,-49229.978,2650.0,-63667.886,3692.484,RowPad,0,A,T09+,-49229.978,2650.0,-63926.616,4084.349
425.793,RowPad,0,A,T09+,-49229.978,2650.0,-63926.616,4084.349,RowPad,0,A,T09-,-49229.978,2650.0,-63597.886,3813.727
69519.929,RowPad,0,A,T09-,-49229.978,2650.0,-63597.886,3813.727,ColumnPad,9,A,R00+,-49229.978,2650.0,-19313.842,57404.248
425.793,ColumnPad,9,A,R00+,-49229.978,2650.0,-19313.842,57404.248,ColumnPad,9,A,R00-,-49229.978,2650.0,-19383.842,56984.248
469.574,ColumnPad,9,A,R00-,-49229.978,2650.0,-19383.842,56984.248,ColumnPad,9,A,L00+,-49229.978,2650.0,-19173.842,57404.248
425.793,ColumnPad,9,A,L00+,-49229.978,2650.0,-19173.842,57404.248,ColumnPad,9,A,L00-,-49229.978,2650.0,-19243.842,56984.248
69383.373,ColumnPad,9,A,L00-,-49229.978,2650.0,-19243.842,56984.248,RowPad,0,A,B09+,-49229.978,2650.0,-63996.616,3963.105
425.793,RowPad,2,A,B10+,-49229.978,11829.869,-58746.616,13056.372,RowPad,2,A,B10-,-49229.978,11829.869,-58417.886,12785.75
469.574,RowPad,2,A,B10-,-49229.978,11829.869,-58417.886,12785.75,RowPad,2,A,T10+,-49229.978,11829.869,-58676.616,13177.616
425.793,RowPad,2,A,T10+,-49229.978,11829.869,-58676.616,13177.616,RowPad,2,A,T10-,-49229.978,11829.869,-58347.886,12906.994
56179.063,RowPad,2,A,T10-,-49229.978,11829.869,-58347.886,12906.994,ColumnPad,10,A,R02+,-49229.978,11829.869,-24053.842,57404.248
425.793,ColumnPad,10,A,R02+,-49229.978,11829.869,-24053.842,57404.248,ColumnPad,10,A,R02-,-49229.978,11829.869,-24123.842,56984.248
469.574,ColumnPad,10,A,R02-,-49229.978,11829.869,-24123.842,56984.248,ColumnPad,10,A,L02+,-49229.978,11829.869,-23913.842,57404.248
