pixel distance,1st Grouptype,1st GroupIndex,1st Group Section,1st Pad Label,1st Pixel X center,1st Pixel Y center,1st Pad X center,1st Pad Y center,2nd Grouptype,2nd GroupIndex,2nd Group Section,2nd Pad Label,2nd Pixel X center,2nd Pixel Y center,2nd Pad X center,2nd Pad Y center
61122.5817181912,RowPad,7,C,T11+,-9479.978,-53139.281,-8853.842,-57404.248,RowPad,8,C,X00-,-43929.978,-2650.0,-10723.842,-56984.248
0.0,RowPad,8,C,X00-,-43929.978,-2650.0,-10723.842,-56984.248,RowPad,8,C,X00+,-43929.978,-2650.0,-10793.842,-57404.248
0.0,RowPad,8,C,X00+,-43929.978,-2650.0,-10793.842,-57404.248,RowPad,8,C,B00-,-43929.978,-2650.0,-10863.842,-56984.248
61122.5817181912,RowPad,8,C,T11+,-14779.978,-53139.281,-14153.842,-57404.248,RowPad,9,C,X00-,-49229.978,-2650.0,-16023.842,-56984.248
0.0,RowPad,9,C,X00-,-49229.978,-2650.0,-16023.842,-56984.248,RowPad,9,C,X00+,-49229.978,-2650.0,-16093.842,-57404.248
0.0,RowPad,9,C,X00+,-49229.978,-2650.0,-16093.842,-57404.248,RowPad,9,C,B00-,-49229.978,-2650.0,-16163.842,-56984.248
61122.5817181912,RowPad,9,C,T11+,-20079.978,-53139.281,-19453.842,-57404.248,RowPad,10,C,X00-,-54529.978,-2650.0,-21323.842,-56984.248
0.0,RowPad,10,C,X00-,-54529.978,-2650.0,-21323.842,-56984.248,RowPad,10,C,X00+,-54529.978,-2650.0,-21393.842,-57404.248
0.0,RowPad,10,C,X00+,-54529.978,-2650.0,-21393.842,-57404.248,RowPad,10,C,B00-,-54529.978,-2650.0,-21463.842,-56984.248
61122.5817181912,RowPad,10,C,T11+,-25379.978,-53139.281,-24753.842,-57404.248,RowPad,11,C,X00-,-59829.978,-2650.0,-26623.842,-56984.248
0.0,RowPad,11,C,X00-,-59829.978,-2650.0,-26623.842,-56984.248,RowPad,11,C,X00+,-59829.978,-2650.0,-26693.842,-57404.248
0.0,RowPad,11,C,X00+,-59829.978,-2650.0,-26693.842,-57404.248,RowPad,11,C,B00-,-59829.978,-2650.0,-26763.842,-56984.248
58540.41339109248,ColumnPad,0,C,L11+,-59829.978,-2650.0,-65326.616,-1659.478,RowPad,0,A,X00+,-1529.978,2650.0,-65326.616,1659.478
