pad distance,1st Grouptype,1st GroupIndex,1st Group Section,1st Pad Label,2nd Grouptype,2nd GroupIndex,2nd Group Section,2nd Pad Label
140.0,ColumnPad,8,B,R03-,ColumnPad,8,B,L03-
140.0,RowPad,2,B,B09+,RowPad,2,B,T09+
140.0,RowPad,2,B,B09-,RowPad,2,B,T09-
140.0,ColumnPad,9,B,R02+,ColumnPad,9,B,L02+
140.0,ColumnPad,9,B,R02-,ColumnPad,9,B,L02-
140.0,RowPad,1,B,B10+,RowPad,1,B,T10+
140.0,RowPad,1,B,B10-,RowPad,1,B,T10-
140.0,ColumnPad,10,B,R01+,ColumnPad,10,B,L01+
140.0,ColumnPad,10,B,R01-,ColumnPad,10,B,L01-
140.0,RowPad,0,B,B11+,RowPad,0,B,T11+
140.0,RowPad,0,B,B11-,RowPad,0,B,T11-
140.0,ColumnPad,11,B,R00+,ColumnPad,11,B,L00+
140.0,ColumnPad,11,B,R00-,ColumnPad,11,B,L00-
140.0,RowPad,11,B,B01+,RowPad,11,B,T01+
140.0,RowPad,11,B,B01-,RowPad,11,B,T01-
140.0,ColumnPad,1,B,R11+,ColumnPad,1,B,L11+
140.0,ColumnPad,1,B,R11-,ColumnPad,1,B,L11-
140.0,RowPad,10,B,B02+,RowPad,10,B,T02+
140.0,RowPad,10,B,B02-,RowPad,10,B,T02-
140.0,ColumnPad,2,B,R10+,ColumnPad,2,B,L10+
140.0,ColumnPad,2,B,R10-,ColumnPad,2,B,L10-
140.0,RowPad,9,B,B03+,RowPad,9,B,T03+
140.0,RowPad,9,B,B03-,RowPad,9,B,T03-
140.0,ColumnPad,3,B,R09+,ColumnPad,3,B,L09+
140.0,ColumnPad,3,B,R09-,ColumnPad,3,B,L09-
140.0,RowPad,8,B,B04+,RowPad,8,B,T04+
140.0,RowPad,8,B,B04-,RowPad,8,B,T04-
140.0,ColumnPad,4,B,R08+,ColumnPad,4,B,L08+
140.0,ColumnPad,4,B,R08-,ColumnPad,4,B,L08-
140.0,RowPad,7,B,B05+,RowPad,7,B,T05+
140.0,RowPad,7,B,B05-,RowPad,7,B,T05-
140.0,ColumnPad,5,B,R07+,ColumnPad,5,B,L07+
