1st Grouptype,1st GroupIndex,1st Group Section,1st Pad Label,1st Pixel X center,1st Pixel Y center,1st Pad X center,1st Pad Y center,2nd Grouptype,2nd GroupIndex,2nd Group Section,2nd Pad Label,2nd Pixel X center,2nd Pixel Y center,2nd Pad X center,2nd Pad Y center
ColumnPad,10,A,R09-,-30679.978,43959.412,-22163.842,56984.248,ColumnPad,10,A,R09+,-30679.978,43959.412,-22093.842,57404.248
ColumnPad,10,A,R09+,-30679.978,43959.412,-22093.842,57404.248,ColumnPad,10,A,L09-,-30679.978,43959.412,-22023.842,56984.248
ColumnPad,10,A,L09-,-30679.978,43959.412,-22023.842,56984.248,ColumnPad,10,A,L09+,-30679.978,43959.412,-21953.842,57404.248
ColumnPad,10,A,R10-,-28029.978,48549.346,-21883.842,56984.248,ColumnPad,10,A,R10+,-28029.978,48549.346,-21813.842,57404.248
ColumnPad,10,A,R10+,-28029.978,48549.346,-21813.842,57404.248,ColumnPad,10,A,L10-,-28029.978,48549.346,-21743.842,56984.248
ColumnPad,10,A,L10-,-28029.978,48549.346,-21743.842,56984.248,ColumnPad,10,A,L10+,-28029.978,48549.346,-21673.842,57404.248
ColumnPad,10,A,R11-,-25379.978,53139.281,-21603.842,56984.248,ColumnPad,10,A,R11+,-25379.978,53139.281,-21533.842,57404.248
ColumnPad,10,A,R11+,-25379.978,53139.281,-21533.842,57404.248,ColumnPad,10,A,L11-,-25379.978,53139.281,-21463.842,56984.248
ColumnPad,10,A,L11-,-25379.978,53139.281,-21463.842,56984.248,ColumnPad,10,A,L11+,-25379.978,53139.281,-21393.842,57404.248
ColumnPad,9,A,R00-,-49229.978,2650.0,-19383.842,56984.248,ColumnPad,9,A,R00+,-49229.978,2650.0,-19313.842,57404.248
ColumnPad,9,A,R00+,-49229.978,2650.0,-19313.842,57404.248,ColumnPad,9,A,L00-,-49229.978,2650.0,-19243.842,56984.248
ColumnPad,9,A,L00-,-49229.978,2650.0,-19243.842,56984.248,ColumnPad,9,A,L00+,-49229.978,2650.0,-19173.842,57404.248
ColumnPad,9,A,R01-,-46579.978,7239.935,-19103.842,56984.248,ColumnPad,9,A,R01+,-46579.978,7239.935,-19033.842,57404.248
ColumnPad,9,A,R01+,-46579.978,7239.935,-19033.842,57404.248,ColumnPad,9,A,L01-,-46579.978,7239.935,-18963.842,56984.248
ColumnPad,9,A,L01-,-46579.978,7239.935,-18963.842,56984.248,ColumnPad,9,A,L01+,-46579.978,7239.935,-18893.842,57404.248
ColumnPad,9,A,R02-,-43929.978,11829.869,-18823.842,56984.248,ColumnPad,9,A,R02+,-43929.978,11829.869,-18753.842,57404.248
ColumnPad,9,A,R02+,-43929.978,11829.869,-18753.842,57404.248,ColumnPad,9,A,L02-,-43929.978,11829.869,-18683.842,56984.248
ColumnPad,9,A,L02-,-43929.978,11829.869,-18683.842,56984.248,ColumnPad,9,A,L02+,-43929.978,11829.869,-18613.842,57404.248
ColumnPad,9,A,R03-,-41279.978,16419.804,-18543.842,56984.248,ColumnPad,9,A,R03+,-41279.978,16419.804,-18473.842,57404.248
ColumnPad,9,A,R03+,-41279.978,16419.804,-18473.842,57404.248,ColumnPad,9,A,L03-,-41279.978,16419.804,-18403.842,56984.248
ColumnPad,9,A,L03-,-41279.978,16419.804,-18403.842,56984.248,ColumnPad,9,A,L03+,-41279.978,16419.804,-18333.842,57404.248
ColumnPad,9,A,R04-,-38629.978,21009.739,-18263.842,56984.248,ColumnPad,9,A,R04+,-38629.978,21009.739,-18193.842,57404.248
ColumnPad,9,A,R04+,-38629.978,21009.739,-18193.842,57404.248,ColumnPad,9,A,L04-,-38629.978,21009.739,-18123.842,56984.248
ColumnPad,9,A,L04-,-38629.978,21009.739,-18123.842,56984.248,ColumnPad,9,A,L04+,-38629.978,21009.739,-18053.842,57404.248
ColumnPad,9,A,R05-,-35979.978,25599.673,-17983.842,56984.248,ColumnPad,9,A,R05+,-35979.978,25599.673,-17913.842,57404.248
ColumnPad,9,A,R05+,-35979.978,25599.673,-17913.842,57404.248,ColumnPad,9,A,L05-,-35979.978,25599.673,-17843.842,56984.248
ColumnPad,9,A,L05-,-35979.978,25599.673,-17843.842,56984.248,ColumnPad,9,A,L05+,-35979.978,25599.673,-17773.842,57404.248
ColumnPad,9,A,R06-,-33329.978,30189.608,-17703.842,56984.248,ColumnPad,9,A,R06+,-33329.978,30189.608,-17633.842,57404.248
ColumnPad,9,A,R06+,-33329.978,30189.608,-17633.842,57404.248,ColumnPad,9,A,L06-,-33329.978,30189.608,-17563.842,56984.248
