in s,C1 in V,C4 in V
4.00000E-09,1.54785E+01,-1.57791E+00
4.20000E-09,1.55762E+01,-1.57303E+00
4.40000E-09,1.56738E+01,-1.55838E+00
4.60000E-09,1.55762E+01,-1.54373E+00
4.80000E-09,1.54785E+01,-1.52908E+00
5.00000E-09,1.55762E+01,-1.49979E+00
5.20000E-09,1.58691E+01,-1.46072E+00
5.40000E-09,1.60645E+01,-1.41678E+00
5.60000E-09,1.60645E+01,-1.36795E+00
5.80000E-09,1.59668E+01,-1.31912E+00
6.00000E-09,1.60645E+01,-1.26053E+00
6.20000E-09,1.61621E+01,-1.20193E+00
6.40000E-09,1.61621E+01,-1.13357E+00
6.60000E-09,1.59668E+01,-1.06521E+00
6.80000E-09,1.58691E+01,-9.91973E-01
7.00000E-09,1.59668E+01,-9.13848E-01
7.20000E-09,1.60645E+01,-8.16191E-01
7.40000E-09,1.60645E+01,-7.08770E-01
7.60000E-09,1.60645E+01,-6.11113E-01
7.80000E-09,1.59668E+01,-5.32988E-01
8.00000E-09,1.58691E+01,-4.45098E-01
8.20000E-09,1.57715E+01,-3.37676E-01
8.40000E-09,1.58691E+01,-2.25371E-01
8.60000E-09,1.62598E+01,-1.32598E-01
8.80000E-09,1.65527E+01,-4.95898E-02
9.00000E-09,1.66504E+01,4.31836E-02
9.20000E-09,1.64551E+01,1.40840E-01
9.40000E-09,1.63574E+01,2.38496E-01
9.60000E-09,1.63574E+01,3.31270E-01
9.80000E-09,1.64551E+01,4.28926E-01
1.00000E-08,1.64551E+01,5.26582E-01
1.02000E-08,1.64551E+01,6.19355E-01
1.04000E-08,1.63574E+01,6.97480E-01
1.06000E-08,1.62598E+01,7.65840E-01
1.08000E-08,1.62598E+01,8.24434E-01
1.10000E-08,1.64551E+01,8.87910E-01
1.12000E-08,1.67480E+01,9.61152E-01
1.14000E-08,1.68457E+01,1.03439E+00
1.16000E-08,1.67480E+01,1.08811E+00
1.18000E-08,1.65527E+01,1.11740E+00
1.20000E-08,1.65527E+01,1.13205E+00
1.22000E-08,1.67480E+01,1.15158E+00
1.24000E-08,1.68457E+01,1.17111E+00
1.26000E-08,1.67480E+01,1.19064E+00
1.28000E-08,1.65527E+01,1.21018E+00
1.30000E-08,1.64551E+01,1.23947E+00
1.32000E-08,1.65527E+01,1.24924E+00
1.34000E-08,1.68457E+01,1.24436E+00
1.36000E-08,1.70410E+01,1.24924E+00
1.38000E-08,1.70410E+01,1.27365E+00
1.40000E-08,1.68457E+01,1.29807E+00
1.42000E-08,1.67480E+01,1.29807E+00
1.44000E-08,1.66504E+01,1.28830E+00
1.46000E-08,1.66504E+01,1.29318E+00
1.48000E-08,1.66504E+01,1.31271E+00
1.50000E-08,1.67480E+01,1.33225E+00
1.52000E-08,1.68457E+01,1.33713E+00
1.54000E-08,1.67480E+01,1.33713E+00
1.56000E-08,1.66504E+01,1.33713E+00
1.58000E-08,1.65527E+01,1.34201E+00
1.60000E-08,1.65527E+01,1.34689E+00
1.62000E-08,1.64551E+01,1.35178E+00
1.64000E-08,1.64551E+01,1.35666E+00
1.66000E-08,1.64551E+01,1.36154E+00
1.68000E-08,1.63574E+01,1.37131E+00
1.70000E-08,1.62598E+01,1.38596E+00
1.72000E-08,1.62598E+01,1.39084E+00
1.74000E-08,1.64551E+01,1.38107E+00
1.76000E-08,1.67480E+01,1.38107E+00
1.78000E-08,1.68457E+01,1.39572E+00
1.80000E-08,1.68457E+01,1.42014E+00
1.82000E-08,1.68457E+01,1.42990E+00
1.84000E-08,1.67480E+01,1.43479E+00
1.86000E-08,1.67480E+01,1.43967E+00
1.88000E-08,1.67480E+01,1.43967E+00
1.90000E-08,1.68457E+01,1.43967E+00
1.92000E-08,1.68457E+01,1.45432E+00
1.94000E-08,1.66504E+01,1.46896E+00
1.96000E-08,1.65527E+01,1.46896E+00
1.98000E-08,1.67480E+01,1.45432E+00
2.00000E-08,1.69434E+01,1.45432E+00
2.02000E-08,1.69434E+01,1.48361E+00
2.04000E-08,1.68457E+01,1.50803E+00
2.06000E-08,1.67480E+01,1.50314E+00
2.08000E-08,1.66504E+01,1.49826E+00
2.10000E-08,1.66504E+01,1.51291E+00
2.12000E-08,1.66504E+01,1.52756E+00
2.14000E-08,1.66504E+01,1.52268E+00
2.16000E-08,1.66504E+01,1.51291E+00
2.18000E-08,1.65527E+01,1.52756E+00
2.20000E-08,1.65527E+01,1.54709E+00
2.22000E-08,1.66504E+01,1.54221E+00
2.24000E-08,1.67480E+01,1.52756E+00
2.26000E-08,1.66504E+01,1.52756E+00
2.28000E-08,1.65527E+01,1.53732E+00
