range of distance,number in the range
"(95135.91281991055,95136.8140228494)",3.0
"(95446.82783381977,95447.72903675864)",3.0
"(95580.20586877213,95581.107071711)",3.0
"(95974.93275599602,95975.83395893489)",3.0
"(96036.21455583899,96037.11575877786)",3.0
"(99199.4368712633,99200.33807420217)",3.0
"(99274.23671518928,99275.13791812815)",3.0
"(99799.63802854894,99800.53923148781)",3.0
"(99912.28839590735,99913.18959884622)",3.0
"(100153.8107835238,100154.71198646266)",3.0
"(100242.12867153279,100243.02987447166)",3.0
"(103890.19816806773,103891.09937100658)",3.0
"(103983.92327370992,103984.82447664879)",3.0
"(104421.90790199944,104422.80910493831)",3.0
"(104534.55826935786,104535.45947229673)",3.0
"(108435.8657917145,108436.76699465337)",3.0
"(108569.24382666686,108570.14502960573)",3.0
