Grouptype,GroupIndex,Group Section,Pad Label,Pad X center,Pad Y center,Pixel Row,Pixel Column,Pixel Ring,Pixel Section,Pixel X center,Pixel Y center,Raw angle,Actual angle,Signal description
RowPad,0,C,T08-,28776.158,-56984.248,0,8,0,C,19670.022,-39369.477,0.0,-2.0943951023931953,NC
RowPad,0,C,B09+,28566.158,-57404.248,0,9,0,C,22320.022,-43959.412,0.0,-2.0943951023931953,NC
RowPad,0,C,B09-,28636.158,-56984.248,0,9,0,C,22320.022,-43959.412,0.0,-2.0943951023931953,NC
RowPad,0,C,T09+,28426.158,-57404.248,0,9,0,C,22320.022,-43959.412,0.0,-2.0943951023931953,NC
RowPad,0,C,T09-,28496.158,-56984.248,0,9,0,C,22320.022,-43959.412,0.0,-2.0943951023931953,NC
RowPad,0,C,B10+,28286.158,-57404.248,0,10,0,C,24970.022,-48549.346,0.0,-2.0943951023931953,NC
RowPad,0,C,B10-,28356.158,-56984.248,0,10,0,C,24970.022,-48549.346,0.0,-2.0943951023931953,NC
RowPad,0,C,T10+,28146.158,-57404.248,0,10,0,C,24970.022,-48549.346,0.0,-2.0943951023931953,NC
RowPad,0,C,T10-,28216.158,-56984.248,0,10,0,C,24970.022,-48549.346,0.0,-2.0943951023931953,NC
RowPad,0,C,B11+,28006.158,-57404.248,0,11,0,C,27620.022,-53139.281,0.0,-2.0943951023931953,NC
RowPad,0,C,B11-,28076.158,-56984.248,0,11,0,C,27620.022,-53139.281,0.0,-2.0943951023931953,NC
RowPad,0,C,T11+,27866.158,-57404.248,0,11,0,C,27620.022,-53139.281,0.0,-2.0943951023931953,NC
RowPad,0,C,T11-,27936.158,-56984.248,0,11,0,C,27620.022,-53139.281,0.0,-2.0943951023931953,NC
RowPad,0,C,X00+,31226.158,-57404.248,0,0,0,C,-1529.978,-2650.000,0.0,-2.0943951023931953,NC
RowPad,0,C,X00-,31296.158,-56984.248,0,0,0,C,-1529.978,-2650.000,0.0,-2.0943951023931953,NC
RowPad,1,A,B00+,-62796.616,6041.566,1,0,0,A,1120.022,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,B00-,-62467.886,5770.945,1,0,0,A,1120.022,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,T00+,-62726.616,6162.810,1,0,0,A,1120.022,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,T00-,-62397.886,5892.188,1,0,0,A,1120.022,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,B01+,-62656.616,6284.054,1,1,0,A,-4179.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,B01-,-62327.886,6013.432,1,1,0,A,-4179.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,T01+,-62586.616,6405.297,1,1,0,A,-4179.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,T01-,-62257.886,6134.675,1,1,0,A,-4179.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,B02+,-62516.616,6526.541,1,2,0,A,-9479.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,B02-,-62187.886,6255.919,1,2,0,A,-9479.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,T02+,-62446.616,6647.784,1,2,0,A,-9479.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,T02-,-62117.886,6377.162,1,2,0,A,-9479.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,B03+,-62376.616,6769.028,1,3,0,A,-14779.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,B03-,-62047.886,6498.406,1,3,0,A,-14779.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,T03+,-62306.616,6890.271,1,3,0,A,-14779.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,T03-,-61977.886,6619.650,1,3,0,A,-14779.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,B04+,-62236.616,7011.515,1,4,0,A,-20079.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,B04-,-61907.886,6740.893,1,4,0,A,-20079.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,T04+,-62166.616,7132.758,1,4,0,A,-20079.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,T04-,-61837.886,6862.137,1,4,0,A,-20079.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,B05+,-62096.616,7254.002,1,5,0,A,-25379.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,B05-,-61767.886,6983.380,1,5,0,A,-25379.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,T05+,-62026.616,7375.246,1,5,0,A,-25379.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,T05-,-61697.886,7104.624,1,5,0,A,-25379.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,B06+,-61956.616,7496.489,1,6,0,A,-30679.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,B06-,-61627.886,7225.867,1,6,0,A,-30679.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,T06+,-61886.616,7617.733,1,6,0,A,-30679.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,T06-,-61557.886,7347.111,1,6,0,A,-30679.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,B07+,-61816.616,7738.976,1,7,0,A,-35979.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,B07-,-61487.886,7468.354,1,7,0,A,-35979.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,T07+,-61746.616,7860.220,1,7,0,A,-35979.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,T07-,-61417.886,7589.598,1,7,0,A,-35979.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,B08+,-61676.616,7981.463,1,8,0,A,-41279.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,B08-,-61347.886,7710.842,1,8,0,A,-41279.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,T08+,-61606.616,8102.707,1,8,0,A,-41279.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,T08-,-61277.886,7832.085,1,8,0,A,-41279.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,B09+,-61536.616,8223.950,1,9,0,A,-46579.978,7239.935,0.0,2.0943951023931953,NC
