in s,C1 in V,C4 in V
-6.040E-08,5.37109E-01,-2.02225E+00
-6.000E-08,3.41797E-01,-2.04666E+00
-5.960E-08,5.37109E-01,-2.02713E+00
-5.920E-08,7.32422E-01,-2.03689E+00
-5.880E-08,6.34766E-01,-2.02713E+00
-5.840E-08,8.30078E-01,-2.02225E+00
-5.800E-08,8.30078E-01,-2.02713E+00
-5.760E-08,3.41797E-01,-2.04666E+00
-5.720E-08,3.41797E-01,-2.03201E+00
-5.680E-08,5.37109E-01,-2.03689E+00
-5.640E-08,3.41797E-01,-2.01248E+00
-5.600E-08,3.41797E-01,-2.01736E+00
-5.560E-08,1.22070E+00,-2.02713E+00
-5.520E-08,6.34766E-01,-2.03201E+00
-5.480E-08,7.32422E-01,-2.01248E+00
-5.440E-08,8.30078E-01,-2.03201E+00
-5.400E-08,6.34766E-01,-2.01248E+00
-5.360E-08,6.34766E-01,-2.02225E+00
-5.320E-08,4.39453E-01,-2.02713E+00
-5.280E-08,6.34766E-01,-2.03689E+00
-5.240E-08,4.39453E-01,-2.04178E+00
-5.200E-08,5.37109E-01,-2.03201E+00
-5.160E-08,3.41797E-01,-2.01736E+00
-5.120E-08,7.32422E-01,-2.02713E+00
-5.080E-08,3.41797E-01,-2.01248E+00
-5.040E-08,6.34766E-01,-2.01248E+00
-5.000E-08,6.34766E-01,-2.02713E+00
-4.960E-08,6.34766E-01,-2.01248E+00
-4.920E-08,8.30078E-01,-2.01736E+00
-4.880E-08,5.37109E-01,-2.02713E+00
-4.840E-08,7.32422E-01,-2.03689E+00
-4.800E-08,7.32422E-01,-2.03201E+00
-4.760E-08,1.46484E-01,-2.01736E+00
-4.720E-08,5.37109E-01,-2.03201E+00
-4.680E-08,6.34766E-01,-2.01248E+00
-4.640E-08,7.32422E-01,-2.03689E+00
-4.600E-08,5.37109E-01,-2.03201E+00
-4.560E-08,6.34766E-01,-2.03689E+00
-4.520E-08,7.32422E-01,-2.04178E+00
-4.480E-08,4.39453E-01,-2.02713E+00
-4.440E-08,4.39453E-01,-2.02713E+00
-4.400E-08,6.34766E-01,-2.02713E+00
-4.360E-08,9.27734E-01,-2.03201E+00
-4.320E-08,7.32422E-01,-2.01736E+00
-4.280E-08,7.32422E-01,-2.01248E+00
-4.240E-08,6.34766E-01,-2.01736E+00
